********************************************************************
*                                                                  *
* Component List (Generic)                                         *
*                                                                  *
* D:\UTENTI\00.CAD\00.PROGETTI\METALTRONICA\22-302-0\22-302-0.MAX  *
* Mon Jan 30 13:00:08 2023                                         *
*                                                                  *
********************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
282                                          02.RIF-MONT-SMD                 -109.22..  5.72 mm   0       
283                                          02.RIF-MONT-SMD                 -113.03..  50.17 mm  0       
284                                          02.RIF-MONT-SMD                 1.91 mm    46.99 mm  0       
285                                          02.RIF-MONT-SMD                 -113.03..  50.17 mm  0       
286                                          02.RIF-MONT-SMD                 -109.22..  5.72 mm   0       
287                                          02.RIF-MONT-SMD                 1.91 mm    46.99 mm  0       
D21        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -47.63 mm  -1.27 mm  90      
D22        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -45.09 mm  -1.27 mm  90      
D23        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -42.55 mm  -1.27 mm  90      
D24        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -40.01 mm  -1.27 mm  90      
D25        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -37.47 mm  -1.27 mm  90      
D26        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -29.85 mm  -1.27 mm  90      
D27        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -34.93 mm  -1.27 mm  90      
D28        SD05-01FTG       SMBJ5.0A         SOD323_1_2                      -32.39 mm  -1.27 mm  90      
DL1        GREEN            APT2012SGC_0     LED0805-MET-12                  -55.88 mm  -1.27 mm  90      
DL2        GREEN            APT2012SGC_0     LED0805-MET-12                  -59.06 mm  -1.27 mm  90      
DL3        GREEN            APT2012SGC_0     LED0805-MET-12                  -62.87 mm  -1.27 mm  90      
DL4        BLUE             APT2012QBC/D     LED0805-MET-12                  -46.36 mm  24.77 mm  90      
DL5        YELLOW           APT2012YC        LED0805-MET-12                  -15.88 mm  28.58 mm  90      
DL6        YELLOW           APT2012YC        LED0805-MET-12                  -12.07 mm  28.58 mm  90      
DL7        YELLOW           APT2012YC        LED0805-MET-12                  -8.26 mm   28.58 mm  90      
